Abbreviation,Category,Creator,Title,Publisher,Contributor,Date,Type,Format,Identifier,Source,Citation,Language,Rights,Coverage
osm_roads_trunk,Infrastructure,OpenStreetMap,Trunkroad infrastructure quality index,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Derived from OpenStreetMap and GlobalEconomy,Map data copyrighted from OpenStreetMap contributors and available from openstreetmap.org AND https://www.theglobaleconomy.com,eng,ODbl AND Unknown,Tanzania
rcmrd_elev,Enviromental,RCMRD,Elevation,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,RCMRD,None,eng,ODbl,Tanzania
rcmrd_elevthresh,Enviromental,RCMRD,Elevation below 1600m,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Derived from RCMRD,None,eng,ODbl,Tanzania
statcompiler_cellphone,Infrastructure,DHS Program,Cellphone usage,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_drinkwater,Infrastructure,DHS Program,Access to clean drinking water,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_education_men,Demographic,DHS Program,Education level men,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_education_women,Demographic,DHS Program,Education level women,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_electricity,Infrastructure,DHS Program,Electricity access,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_employment,Infrastructure,DHS Program,Unemployment,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_gini,Demographic,DHS Program,Income distribution,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_household,Infrastructure,DHS Program,Household members,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_internet,Infrastructure,DHS Program,Internet usage,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_mosnet,Health,DHS Program,Insecticide treated bednet (ITN) use,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
malariaatlas_mosnet,Health,Malaria Atlas Project,Insecticide treated bednet (ITN) use (beta),HAW Hamburg,ESIDA,16.06.2023,Dataset,CSV,To be published soon,Malaria Atlas Project,To be published soon,eng,CC BY 3.0,Tanzania
statcompiler_propsecedu_men,Demographic,DHS Program,Proportion completed secondary education men,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_propsecedu_women,Demographic,DHS Program,Proportion completed secondary education women,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
statcompiler_sanitation,Infrastructure,DHS Program,Proportion improved sanitation,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,DHS Program,None,eng,https://dhsprogram.com/data/terms-of-use.cfm,Tanzania
thfr_clinic,Infrastructure,Tanzanian Ministry of Health,Clinic density,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzania Health Facility Register,None,eng,Unkown,Tanzania
thfr_disp,Infrastructure,Tanzanian Ministry of Health,Dispensery density,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzania Health Facility Register,None,eng,Unkown,Tanzania
thfr_hecenter,Infrastructure,Tanzanian Ministry of Health,Number of health centers,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzania Health Facility Register,None,eng,Unkown,Tanzania
thfr_hospital,Infrastructure,Tanzanian Ministry of Health,Number of hospitals,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzania Health Facility Register,None,eng,Unkown,Tanzania
thfr_lab,Infrastructure,Tanzanian Ministry of Health,Number of medical laboratories,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzania Health Facility Register,None,eng,Unkown,Tanzania
tnbs_garbage,Infrastructure,Tanzanian National Bureau of Statistics,Garbage collection,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzanian Census 2012,None,eng,https://www.nbs.go.tz/nbs/takwimu/references/Licence-Agreement-NBS.pdf,Tanzania
tnbs_medlabdens,Health,Tanzanian National Bureau of Statistics,Medical laborarity density,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzanian Census 2012,None,eng,https://www.nbs.go.tz/nbs/takwimu/references/Licence-Agreement-NBS.pdf,Tanzania
tnbs_nursmidwdens,Health,Tanzanian National Bureau of Statistics,Nurse and midwife density,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzanian Census 2012,None,eng,https://www.nbs.go.tz/nbs/takwimu/references/Licence-Agreement-NBS.pdf,Tanzania
tnbs_physdens,Health,Tanzanian National Bureau of Statistics,Physician density,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzanian Census 2012,None,eng,https://www.nbs.go.tz/nbs/takwimu/references/Licence-Agreement-NBS.pdf,Tanzania
tncen22_disp,Health,Tanzanian National Bureau of Statistics,Number of dispenseries,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzanian Census 2022,None,eng,https://www.nbs.go.tz/nbs/takwimu/references/Licence-Agreement-NBS.pdf,Tanzania
tncen22_hecenter,Health,Tanzanian National Bureau of Statistics,Number of health center,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzanian Census 2022,None,eng,https://www.nbs.go.tz/nbs/takwimu/references/Licence-Agreement-NBS.pdf,Tanzania
tncen22_hospital,Health,Tanzanian National Bureau of Statistics,Number of hospitals,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Tanzanian Census 2022,None,eng,https://www.nbs.go.tz/nbs/takwimu/references/Licence-Agreement-NBS.pdf,Tanzania
visualcrossing_weather,Weather,Visual Crossing,,,,,,,,,,,,
who_hospbeddens,Health,WHO,Hospital density,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,Unknown,WHO,"Hospital beds (per 10 000 population). (o. J.). Abgerufen 14. Juni 2023, von https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-(per-10-000-population)",eng,CC BY-NC-SA 3.0 IGO,Tanzania
worldpop_age_0_4,Demographic,Worldpop,Number of people on age group 0 to 4,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_10_14,Demographic,Worldpop,Number of people on age group 10 to 14,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_15_19,Demographic,Worldpop,Number of people on age group 15 to 19,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_20_24,Demographic,Worldpop,Number of people on age group 20 to 24,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_25_29,Demographic,Worldpop,Number of people on age group 25 to 39,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_30_34,Demographic,Worldpop,Number of people on age group 30 to 34,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_35_39,Demographic,Worldpop,Number of people on age group 35 to 39,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_40_44,Demographic,Worldpop,Number of people on age group 40 to 44,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
